title,plot,ratings,date,total_reviews
The One Where Monica Gets a Roommate,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar.",8.3,22 Sep. 1994,"-8,583"
The One with the Sonogram at the End,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,8,29 Sep. 1994,"-6,607"
The One with the Thumb,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,8.1,6 Oct. 1994,"-6,213"
The One with George Stephanopoulos,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",8.1,13 Oct. 1994,"-6,035"
The One with the East German Laundry Detergent,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",8.4,20 Oct. 1994,"-6,029"
The One with the Butt,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,8.1,27 Oct. 1994,"-5,745"
The One with the Blackout,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",9,3 Nov. 1994,"-7,311"
The One Where Nana Dies Twice,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,8.1,10 Nov. 1994,"-5,615"
The One Where Underdog Gets Away,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,8.2,17 Nov. 1994,"-5,444"
The One with the Monkey,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,8,15 Dec. 1994,"-5,472"
The One with Mrs. Bing,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.",8.2,5 Jan. 1995,"-5,387"
The One with the Dozen Lasagnas,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,8.2,12 Jan. 1995,"-5,293"
The One with the Boobies,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,8.6,19 Jan. 1995,"-5,645"
The One with the Candy Hearts,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.",8.2,9 Feb. 1995,"-5,201"
The One with the Stoned Guy,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.",8.2,16 Feb. 1995,"-5,247"
The One with Two Parts: Part 1,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,8.1,23 Feb. 1995,"-5,167"
The One with Two Parts: Part 2,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.",8.4,23 Feb. 1995,"-5,265"
The One with All the Poker,"As Rachel interviews for a new job, the girls take on the guys in a game of poker.",8.8,2 Mar. 1995,"-5,825"
The One Where the Monkey Gets Away,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,8.1,9 Mar. 1995,"-5,040"
The One with the Evil Orthodontist,"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls.",7.8,6 Apr. 1995,"-5,033"
The One with the Fake Monica,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,7.8,27 Apr. 1995,"-5,071"
The One with the Ick Factor,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,8.3,04-May-95,"-5,035"
The One with the Birth,"As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.",8.7,11-May-95,"-5,317"
The One Where Rachel Finds Out,"As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.",8.9,18-May-95,"-5,665"
The One with Ross's New Girlfriend,"Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut.",8.5,21 Sep. 1995,"-5,160"
